[Info]
Created	20.11.2023 20:05:44
by	Nadja
	
NoStds	0
NoSamples	1
NoScanDims	1
NoScanPoints(1)	801

[Setup]
CalibType	None
StartOn	Keyboard
Ordinate	T
Scan Start	1000
Scan End	200
Scan Step	1,0
Scan Speed	480
Slit Width	2
LampUV	On
LampVIS	On
LampChange	326
Wl	1000

[Sample Info]
SamplePos	2	
SampleID	Sample 1	
Required	false	

764,0	9,65	
765,0	12,75	
766,0	16,43	
767,0	20,52	
768,0	24,65	
769,0	28,54	
770,0	31,88	
771,0	34,49	
772,0	36,21	
773,0	37,01	
774,0	36,80	
775,0	35,70	
776,0	33,85	
777,0	31,45	
778,0	28,72	
779,0	25,87	
780,0	22,96	
781,0	20,09	
782,0	17,18	
783,0	14,25	
784,0	11,25	
785,0	8,39	
786,0	5,82	
787,0	3,73	
788,0	2,19	
789,0	1,18	
790,0	0,60	
791,0	0,31	
792,0	0,19	
793,0	0,15	
794,0	0,09	
795,0	0,08	
796,0	0,08	
797,0	0,07	
798,0	0,06	
799,0	0,06	
800,0	0,06	
801,0	0,05	
802,0	0,04	
803,0	0,05	
804,0	0,04	
805,0	0,05	
806,0	0,05	
807,0	0,05	
808,0	0,04	
809,0	0,05	
810,0	0,07	
811,0	0,10	
812,0	0,16	
813,0	0,27	
814,0	0,47	
815,0	0,79	
816,0	1,24	
817,0	1,87	
818,0	2,70	
819,0	3,77	
820,0	5,17	
821,0	6,90	
822,0	9,00	
823,0	11,39	
824,0	14,11	
825,0	16,94	
826,0	19,95	
827,0	23,10	
828,0	26,46	
829,0	30,02	
830,0	33,76	
831,0	37,72	
832,0	41,71	
833,0	45,69	
834,0	49,46	
835,0	53,00	
836,0	56,20	
837,0	59,05	
838,0	61,59	
839,0	63,82	
840,0	65,72	
841,0	67,25	
842,0	68,47	
843,0	69,37	
844,0	69,88	
845,0	69,99	
846,0	69,67	
847,0	68,79	
848,0	67,32	
849,0	65,11	
850,0	62,00	
851,0	57,95	
852,0	52,97	
853,0	47,16	
854,0	40,89	
855,0	34,52	
856,0	28,47	
857,0	22,91	
858,0	18,27	
859,0	14,55	
860,0	11,73	
861,0	9,73	
862,0	8,44	
863,0	7,72	
864,0	7,44	
865,0	7,50	
866,0	7,74	
867,0	7,99	
868,0	8,01	
869,0	7,58	
870,0	6,61	
871,0	5,27	
872,0	3,88	
873,0	2,77	
874,0	2,07	
875,0	1,74	
876,0	1,73	
877,0	2,02	
878,0	2,67	
879,0	3,71	
880,0	5,14	
881,0	6,88	
882,0	8,79	
883,0	10,75	
884,0	12,64	
885,0	14,37	
886,0	15,93	
887,0	17,24	
888,0	18,39	
889,0	19,55	
890,0	20,91	
891,0	22,59	
892,0	24,66	
893,0	27,07	
894,0	29,67	
895,0	32,28	
896,0	34,71	
897,0	36,95	
898,0	38,90	
899,0	40,75	
900,0	42,48	
901,0	44,24	
902,0	46,13	
903,0	48,07	
904,0	50,17	
905,0	52,32	
906,0	54,57	
907,0	56,75	
908,0	58,90	
909,0	60,92	
910,0	62,75	
911,0	64,49	
912,0	66,05	
913,0	67,51	
914,0	68,83	
915,0	70,13	
916,0	71,35	
917,0	72,60	
918,0	73,74	
919,0	74,99	
920,0	76,10	
921,0	77,21	
922,0	78,27	
923,0	79,31	
924,0	80,27	
925,0	81,13	
926,0	81,96	
927,0	82,67	
928,0	83,29	
929,0	83,85	
930,0	84,28	
931,0	84,65	
932,0	85,00	
933,0	85,27	
934,0	85,49	
935,0	85,61	
936,0	85,75	
937,0	85,82	
938,0	85,88	
939,0	85,94	
940,0	86,03	
941,0	85,97	
942,0	85,99	
943,0	85,94	
944,0	85,91	
945,0	85,92	
946,0	85,88	
947,0	85,79	
948,0	85,71	
949,0	85,67	
950,0	85,60	
951,0	85,51	
952,0	85,46	
953,0	85,31	
954,0	85,26	
955,0	85,14	
956,0	85,02	
957,0	84,89	
958,0	84,77	
959,0	84,68	
960,0	84,53	
961,0	84,40	
962,0	84,23	
963,0	84,16	
964,0	83,99	
965,0	83,82	
966,0	83,67	
967,0	83,54	
968,0	83,32	
969,0	83,13	
970,0	82,87	
971,0	82,55	
972,0	81,99	
973,0	81,40	
974,0	80,65	
975,0	80,12	
976,0	80,01	
977,0	80,26	
978,0	80,46	
979,0	80,71	
980,0	80,88	
981,0	80,89	
982,0	80,95	
983,0	80,91	
984,0	80,84	
985,0	80,78	
986,0	80,65	
987,0	80,54	
988,0	80,46	
989,0	80,43	
990,0	80,35	
991,0	80,22	
992,0	80,13	
993,0	80,09	
994,0	79,97	
995,0	79,93	
996,0	79,83	
997,0	79,79	
998,0	79,72	
999,0	79,67	
1000,0	79,62	
