ENLIGHTEN Version,3.2.36
Measurement ID,20260121-152813-261920-WP-01416
Serial Number,WP-01416
Model,WPX-532-R4-EXR-IC
Detector,S11850-1106
Label,CH2Cl2
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,1
Technique,
Baseline Correction Algo,
ROI Pixel Start,80
ROI Pixel End,2046
CCD C4,2.7494990333977454e-13
Slit Width,25
Vignetted,True
Interpolated,False
Wavenumber Correction,0
Raman Intensity Corrected,False
Deconvolved,False
Region,
Laser Power mW,
Battery %,
Device ID,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
Integration Time,1000
Timestamp,2026-01-21 15:28:13.261920
Note,
Temperature,9.993813157576085
CCD C0,526.0908203125
CCD C1,0.11147542297840118
CCD C2,4.83367011838709e-06
CCD C3,-3.902286493939755e-09
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,532.1
Laser Enable,False
Laser Power %,100
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed
673,602.17,2186.85,1147.33
674,602.28,2189.97,1146.67
675,602.40,2193.08,1144.67
676,602.51,2196.20,1143.33
677,602.62,2199.31,1141.33
678,602.74,2202.42,1142.67
679,602.85,2205.53,1147.33
680,602.96,2208.64,1169.00
681,603.07,2211.75,1160.67
682,603.19,2214.85,1154.33
683,603.30,2217.96,1140.33
684,603.41,2221.06,1148.67
685,603.53,2224.16,1133.33
686,603.64,2227.26,1139.67
687,603.75,2230.36,1150.33
688,603.86,2233.46,1147.33
689,603.98,2236.56,1148.67
690,604.09,2239.65,1138.67
691,604.20,2242.74,1157.00
692,604.32,2245.84,1149.33
693,604.43,2248.93,1148.67
694,604.54,2252.02,1136.67
695,604.66,2255.11,1141.33
696,604.77,2258.20,1156.67
697,604.88,2261.28,1162.33
698,604.99,2264.37,1170.33
699,605.11,2267.45,1154.33
700,605.22,2270.53,1165.00
701,605.33,2273.61,1157.33
702,605.45,2276.69,1156.67
703,605.56,2279.77,1152.33
704,605.67,2282.85,1153.67
705,605.78,2285.93,1167.67
706,605.90,2289.00,1158.00
