ENLIGHTEN Version,3.2.36
Measurement ID,20260121-152926-257183-WP-01416
Serial Number,WP-01416
Model,WPX-532-R4-EXR-IC
Detector,S11850-1106
Label,CHCl3
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,1
Technique,
Baseline Correction Algo,
ROI Pixel Start,80
ROI Pixel End,2046
CCD C4,2.7494990333977454e-13
Slit Width,25
Vignetted,True
Interpolated,False
Wavenumber Correction,0
Raman Intensity Corrected,False
Deconvolved,False
Region,
Laser Power mW,
Battery %,
Device ID,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
Integration Time,1000
Timestamp,2026-01-21 15:29:26.257183
Note,
Temperature,10.010850297268917
CCD C0,526.0908203125
CCD C1,0.11147542297840118
CCD C2,4.83367011838709e-06
CCD C3,-3.902286493939755e-09
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,532.1
Laser Enable,False
Laser Power %,100
Laser Temperature,0
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed
535,586.54,1744.29,1123.33
536,586.65,1747.58,1122.00
537,586.77,1750.88,1109.33
538,586.88,1754.17,1107.67
539,586.99,1757.47,1109.00
540,587.11,1760.76,1100.00
541,587.22,1764.05,1095.00
542,587.33,1767.34,1083.00
543,587.45,1770.63,1109.67
544,587.56,1773.91,1099.33
545,587.67,1777.20,1103.00
546,587.79,1780.48,1089.67
547,587.90,1783.77,1086.67
548,588.01,1787.05,1087.33
549,588.13,1790.33,1095.67
550,588.24,1793.61,1102.67
551,588.35,1796.89,1100.67
552,588.47,1800.16,1103.67
553,588.58,1803.44,1107.33
554,588.69,1806.71,1102.33
555,588.81,1809.98,1093.00
556,588.92,1813.25,1097.33
557,589.03,1816.52,1101.33
558,589.15,1819.79,1107.67
559,589.26,1823.06,1102.00
560,589.37,1826.32,1091.67
561,589.49,1829.59,1084.00
562,589.60,1832.85,1082.33
563,589.71,1836.11,1100.67
564,589.83,1839.37,1095.00
565,589.94,1842.63,1101.67
566,590.06,1845.89,1101.67
567,590.17,1849.15,1103.67
568,590.28,1852.40,1108.33
569,590.40,1855.65,1100.33
570,590.51,1858.91,1105.33
571,590.62,1862.16,1095.67
572,590.74,1865.41,1098.67
573,590.85,1868.66,1101.67
574,590.96,1871.90,1108.67
575,591.08,1875.15,1106.33
576,591.19,1878.39,1104.33
577,591.30,1881.64,1103.67
578,591.42,1884.88,1100.33
579,591.53,1888.12,1109.33
580,591.64,1891.36,1096.00
581,591.76,1894.59,1092.33
582,591.87,1897.83,1077.33
583,591.98,1901.07,1089.33
584,592.10,1904.30,1091.67
585,592.21,1907.53,1101.00
586,592.32,1910.76,1115.67
587,592.44,1913.99,1120.33
588,592.55,1917.22,1110.33
589,592.66,1920.45,1097.67
590,592.78,1923.68,1106.33
591,592.89,1926.90,1118.33
592,593.00,1930.12,1114.00
593,593.12,1933.34,1114.67
594,593.23,1936.57,1106.33
595,593.34,1939.78,1095.67
596,593.46,1943.00,1078.00
597,593.57,1946.22,1088.00
598,593.68,1949.43,1112.00
599,593.80,1952.65,1126.67
600,593.91,1955.86,1118.00
601,594.02,1959.07,1130.00
602,594.14,1962.28,1202.67
603,594.25,1965.49,1240.67
604,594.36,1968.70,1206.33
605,594.48,1971.91,1126.67
606,594.59,1975.11,1090.00
607,594.70,1978.31,1102.00
608,594.82,1981.52,1106.33
609,594.93,1984.72,1098.67
610,595.04,1987.92,1093.00
611,595.16,1991.11,1084.00
612,595.27,1994.31,1095.33
613,595.38,1997.51,1094.67
614,595.49,2000.70,1108.00
615,595.61,2003.89,1087.00
616,595.72,2007.09,1086.33
617,595.83,2010.28,1076.33
618,595.95,2013.47,1074.00
619,596.06,2016.65,1070.33
620,596.17,2019.84,1072.67
621,596.29,2023.03,1087.67
622,596.40,2026.21,1095.33
623,596.51,2029.39,1083.33
624,596.63,2032.57,1078.33
625,596.74,2035.75,1079.67
626,596.85,2038.93,1079.33
627,596.97,2042.11,1096.33
628,597.08,2045.28,1096.33
629,597.19,2048.46,1102.67
630,597.31,2051.63,1092.67
631,597.42,2054.81,1081.00
632,597.53,2057.98,1089.67
633,597.65,2061.15,1090.33
634,597.76,2064.31,1106.33
635,597.87,2067.48,1097.00
636,597.99,2070.65,1100.00
637,598.10,2073.81,1086.00
638,598.21,2076.97,1091.00
639,598.32,2080.13,1094.33
640,598.44,2083.29,1101.33
641,598.55,2086.45,1100.67
642,598.66,2089.61,1095.00
643,598.78,2092.77,1107.00
644,598.89,2095.92,1112.67
645,599.00,2099.08,1108.67
646,599.12,2102.23,1094.00
647,599.23,2105.38,1081.33
648,599.34,2108.53,1100.33
649,599.46,2111.68,1100.33
650,599.57,2114.83,1106.67
651,599.68,2117.97,1096.00
652,599.80,2121.12,1105.00
653,599.91,2124.26,1104.33
654,600.02,2127.40,1103.00
655,600.14,2130.54,1110.67
656,600.25,2133.68,1115.00
657,600.36,2136.82,1120.67
658,600.47,2139.96,1116.67
659,600.59,2143.09,1112.33
660,600.70,2146.23,1095.33
661,600.81,2149.36,1082.67
662,600.93,2152.49,1089.00
663,601.04,2155.62,1084.67
664,601.15,2158.75,1082.33
665,601.27,2161.88,1088.00
666,601.38,2165.00,1108.67
667,601.49,2168.13,1112.33
668,601.60,2171.25,1113.67
669,601.72,2174.38,1103.67
670,601.83,2177.50,1090.33
671,601.94,2180.62,1077.67
672,602.06,2183.74,1074.67
673,602.17,2186.85,1091.33
674,602.28,2189.97,1086.33
675,602.40,2193.08,1088.00
676,602.51,2196.20,1090.33
677,602.62,2199.31,1090.33
678,602.74,2202.42,1097.33
679,602.85,2205.53,1102.33
680,602.96,2208.64,1109.33
681,603.07,2211.75,1097.33
