TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/11/19
TIME	12:51:05
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  900.0000
LASTX	  200.0000
NPOINTS	    3501
FIRSTY	    -0.00292
MAXY	     2.34215
MINY	    -0.00739
XYDATA
780.2000	-0.00586013
780.0000	-0.0056428
779.8000	-0.00525976
779.6000	-0.00560663
779.4000	-0.0059535
779.2000	-0.005944
779.0000	-0.00583738
778.8000	-0.00579248
778.6000	-0.00604812
778.4000	-0.00578357
778.2000	-0.00554177
778.0000	-0.0057079
777.8000	-0.00590331
777.6000	-0.00560538
777.4000	-0.00545481
777.2000	-0.00543967
777.0000	-0.00538086
776.8000	-0.00556268
776.6000	-0.00573605
776.4000	-0.00579509
776.2000	-0.00544733
776.0000	-0.00554872
775.8000	-0.0057664
775.6000	-0.00544068
775.4000	-0.00524413
775.2000	-0.00560105
775.0000	-0.00542808
774.8000	-0.00526558
774.6000	-0.00561073
774.4000	-0.00565492
774.2000	-0.00554313
774.0000	-0.00546687
773.8000	-0.00546954
773.6000	-0.00533364
773.4000	-0.00514221
773.2000	-0.00504017
773.0000	-0.00512071
772.8000	-0.00501403
772.6000	-0.00493296
772.4000	-0.00508745
772.2000	-0.00529991
772.0000	-0.00525993
771.8000	-0.00529189
771.6000	-0.00553749
771.4000	-0.00560384
771.2000	-0.00543129
771.0000	-0.00527662
770.8000	-0.00531357
770.6000	-0.00544068
770.4000	-0.00542007
770.2000	-0.00491377
770.0000	-0.00491603
769.8000	-0.00514768
769.6000	-0.00526385
769.4000	-0.00519709
769.2000	-0.00499461
769.0000	-0.00486192
768.8000	-0.00491265
768.6000	-0.0053912
768.4000	-0.00526647
768.2000	-0.0048232
768.0000	-0.00501261
767.8000	-0.00555941
767.6000	-0.00560948
767.4000	-0.00522447
767.2000	-0.00522234
767.0000	-0.00552514
766.8000	-0.00540296
766.6000	-0.00517428
766.4000	-0.00500792
766.2000	-0.00508091
766.0000	-0.00558032
765.8000	-0.00511679
765.6000	-0.00456209
765.4000	-0.0049566
765.2000	-0.00518272
765.0000	-0.00505733
764.8000	-0.00519484
764.6000	-0.00513865
764.4000	-0.00496687
764.2000	-0.00532741
764.0000	-0.00510147
763.8000	-0.00496456
763.6000	-0.0049304
763.4000	-0.00481648
763.2000	-0.0050644
763.0000	-0.00504872
762.8000	-0.00512879
762.6000	-0.0051377
762.4000	-0.00498802
762.2000	-0.0050394
762.0000	-0.00507741
761.8000	-0.00509695
761.6000	-0.00519733
761.4000	-0.00507123
761.2000	-0.00478209
761.0000	-0.0047916
760.8000	-0.0049626
760.6000	-0.00513829
760.4000	-0.0050767
760.2000	-0.00482177
760.0000	-0.00491003
759.8000	-0.0050878
759.6000	-0.00479985
759.4000	-0.00470042
759.2000	-0.0050372
759.0000	-0.00500162
758.8000	-0.00500435
758.6000	-0.00489453
758.4000	-0.00481262
758.2000	-0.00516573
758.0000	-0.00537582
757.8000	-0.00530805
757.6000	-0.00503886
757.4000	-0.00497056
757.2000	-0.00507598
757.0000	-0.00511447
756.8000	-0.00500922
756.6000	-0.00503548
756.4000	-0.00504219
756.2000	-0.00485735
756.0000	-0.00465831
755.8000	-0.00469977
755.6000	-0.00470149
755.4000	-0.00468076
755.2000	-0.0047755
755.0000	-0.00476635
754.8000	-0.00484458
754.6000	-0.00496972
754.4000	-0.00493421
754.2000	-0.0047812
754.0000	-0.00471658
753.8000	-0.00478488
753.6000	-0.00480074
753.4000	-0.00462927
753.2000	-0.0046769
753.0000	-0.00470411
752.8000	-0.00449687
752.6000	-0.00474402
752.4000	-0.00488532
752.2000	-0.00465136
752.0000	-0.00463598
751.8000	-0.00441223
751.6000	-0.0043428
751.4000	-0.00450721
751.2000	-0.00490385
751.0000	-0.00495779
750.8000	-0.00483579
750.6000	-0.00479427
750.4000	-0.0045514
750.2000	-0.00447038
750.0000	-0.00446854
749.8000	-0.00443195
749.6000	-0.00418148
749.4000	-0.00421973
749.2000	-0.00436739
749.0000	-0.00439109
748.8000	-0.00443878
748.6000	-0.00442197
748.4000	-0.00440624
