Wavelength;C:\Users\49157\OneDrive\Desktop\Protokolle\PC2\Opt\data\filter.txt
769,7803513002349;0,1384014
768,9810906872659;0,1211931
768,1816017766662;0,1072012
767,3818848057903;0,09425979
766,5819400120608;0,08183302
765,9151454906088;0,06989039
765,1147836385118;0,05560694
764,3141946366258;0,04553833
763,5133787226322;0,03832471
762,7123361342798;0,03148413
762,0446276615328;0,02643677
761,243170121233;0,0211128
760,4414865805612;0,0157002
759,6395772775242;0,01256958
758,8374424501956;0,01059522
758,168824657059;0,008972413999999998
757,3662769870805;0,007954347
756,5635044677151;0,007077149
755,7605073372924;0,006661867
754,9572858342091;0,006452882
754,1538401969281;0,006378175
753,4841311243225;0,006221925
752,6802751939078;0,00631299
751,876195805302;0,006268067
751,0718931972225;0,006260499
750,2673676084534;0,006384278
749,5967594576576;0,006309328
748,7918256913524;0,006500733
747,9866696212714;0,006642335
747,1812914864519;0,006623292
